id,nop,owner_id,guardian_id,rt,rw,village,road,determination,block_number,land_area,land_area_unit,building_area,building_area_unit
155,350515000901401360,155,7,000,0,SUMBERJO,BLOK 014,51795,014.0136,1151,m2,0,m2
156,350515000901401250,156,7,001,9,SUMBERJO,BLOK 014,51795,014.0125,1151,m2,0,m2
157,350515000901401090,157,7,001,9,SUMBERJO,BLOK 014,50085,014.0109,1113,m2,0,m2
158,350515000901401740,158,7,1,9,SUMBERJO,BLOK 014,82890,014.0174,1842,m2,0,m2
159,350515000901500800,159,7,002,9,SUMBERJO,BLOK 015,36714,015.0080,355,m2,60,m2
160,350515000901501590,160,7,000,0,SUMBERJO,BLOK 015,54955,015.0159,857,m2,0,m2
161,350515000902300180,161,7,001,8,SUMBERJO,DSN KEMBANGAN,66600,023.0018,1480,m2,0,m2
162,350515000902301170,162,7,001,8,SUMBERJO,DSN KEMBANGAN,66600,023.0117,1480,m2,0,m2
163,350515000902301180,163,7,001,8,SUMBERJO,DSN. KEMBANGAN BLOK 023,66690,023.0118,1482,m2,0,m2
164,350515000902301190,164,7,001,8,SUMBERJO,DSN KEMBANGAN,82800,023.0119,1840,m2,0,m2
165,350515000902300900,165,7,002,8,SUMBERJO,DSN KEMBANGAN,29025,023.0090,645,m2,0,m2
166,350515000901401110,166,7,001,9,SUMBERJO,BLOK 014,27495,014.0111,611,m2,0,m2
167,350515000902300390,167,7,000,0,SUMBERJO,BLOK 023,73440,023.0039,1632,m2,0,m2
168,350515000901501110,168,7,002,9,SUMBERJO,BLOK 015,119091,015.0111,1767,m2,60,m2
169,350515000901601120,169,7,003,9,SUMBERJO,BLOK 015,31304,016.0112,398,m2,60,m2
170,350515000901501100,170,7,002,9,SUMBERJO,DSN KEMBANGAN,57788,015.0110,811,m2,60,m2
171,350515000901501170,171,7,002,9,SUMBERJO,KEMBANGAN,90352,015.0117,1409,m2,0,m2
172,350515000901601200,172,7,003,9,SUMBERJO,BLOK 015,17186,016.0120,201,m2,0,m2
173,350515000901501180,173,7,002,9,SUMBERJO,DSN KEMBANGAN,31478,015.0118,140,m2,50,m2
174,350515000901501380,174,7,002,9,SUMBERJO,DSN KEMBANGAN,34307,015.0138,535,m2,0,m2
175,350515000901501190,175,7,002,9,SUMBERJO,DSN.KEMBANGAN,81488,015.0119,242,m2,200,m2
176,350515000901501230,176,7,002,9,SUMBERJO,JL. DESA BLOK 015,22968,015.0123,268,m2,60,m2
177,350515000901501940,177,7,2,9,SUMBERJO,JL DESA BLOK 015,19843,015.0194,134,m2,50,m2
178,350515000901501950,178,7,2,9,SUMBERJO,JL DESA BLOK 015,17100,015.0195,200,m2,0,m2
179,350515000901401860,179,7,002,9,SUMBERJO,DSN KEMBANGAN,10000,014.0186,76,m2,0,m2
180,350515000901501970,180,7,2,9,SUMBERJO,JL DESA BLOK 015,17186,015.0197,201,m2,0,m2
181,350515000901501980,181,7,2,9,SUMBERJO,JL DESA BLOK 015,11372,015.0198,133,m2,0,m2
182,350515000901401180,182,7,002,9,SUMBERJO,DSN KEMBANGAN,10000,014.0118,12,m2,0,m2
183,350515000901501260,183,7,002,9,SUMBERJO,JL. DESA BLOK 015,56437,015.0126,863,m2,25,m2
184,350515000901501240,184,7,002,9,SUMBERJO,BLOK 015,100428,015.0124,1324,m2,96,m2
185,350515000901501250,185,7,002,9,SUMBERJO,JL. DESA BLOK 015,37898,015.0125,591,m2,0,m2
186,350515000901601280,186,7,003,9,SUMBERJO,BLOK 015,25522,016.0128,398,m2,0,m2
187,350515000902300400,187,7,000,0,SUMBERJO,BLOK 023,36585,023.0040,813,m2,0,m2
188,350515000902300970,188,7,002,8,SUMBERJO,DSN.KEMBANGAN,24000,023.0097,400,m2,0,m2
189,350515000901501060,189,7,002,9,SUMBERJO,JL. DESA BLOK 015,14877,015.0106,174,m2,0,m2
190,350515000902001740,190,7,000,0,SUMBERJO,BLOK 020,19617,020.0174,142,m2,0,m2
191,350515000901501040,191,7,003,9,SUMBERJO,BLOK 015,29853,015.0104,248,m2,60,m2
